"","pathway","pval","padj","ES","NES","nMoreExtreme","size","leadingEdge"
"1","GOBP_MITOCHONDRIAL_GENOME_MAINTENANCE",0.610675752413401,0.88790179080072,0.337865218831558,0.886542643425368,16130,13,"MEF2A,AKT3,SLC25A36,PARP1,TP53,DNA2,OPA1,TYMP"
"2","GOBP_REPRODUCTION",0.160841246954706,0.597276583937236,0.214364774535156,1.09931456619378,6469,808,"MAFF,HMGB2,BCL6,FOS,NUPR1,ZFP36L1,YBX3,RAB13,TIMP1,CCN1,RHOBTB3,H3-3B,AKR1C3,MSH3,SERPINE2,SUN1,JUNB,CD46,SYNE1,SMURF2,MYH9,HEXB,INHBB,SOX9,STS,PTN,CADM1,MFGE8,ENDOU,SEPTIN2,CEBPB,TUT4,IGFBP7,NR2F2,GABRB1,LARP7,SRPK1,VEGFA,UBAP2L,SMC1A,CENPC,DDR1,HERC4,WNT5A,RNF114,RAD1,LEF1,DZIP1,ADM,AXL,HAS2,CCNE2,RPS6KB1,KDM5A,EDNRB,TAF4,RAD21,YTHDC2,SLC26A3,PRKACB,ZMIZ1,STC1,H2AX,TCFL5,CRIP1,ACOX1,FZD5,NASP,MAPK1,RPS6,NRIP1,NIPBL,LRRC6,ZFX,EGFR,STAT3,ETV6,PLA2G10,TIPARP,PTK2,FOXF2,NECTIN3,UNC13B,FBXW11,UBE2J1,TGFBR2,HIF1A,PLTP,LHFPL2,OSGIN2,SAFB2,NR0B1,KDM3A,BNC1,CAPN2,HESX1,IFT20,USP9Y,PGAM2,FANCL,CREM,PUM1,ACTR1A,CIB1,RGS2,ARNTL,ACVR1,ZBTB16,HDAC4,EREG,SMAD1,BMP7,ADCY7,MBD2,VPS13A,HDAC2,FGF9,SIAH1,FOXA1,CENPX,ADAM21,RRM1,MERTK,PDGFRB,HSPA5,RAD51C,BASP1,NPR2,CDYL,TOB2,SPAG1,ACTR3,OVGP1,IL4R,PPAT,KALRN,CASP3,CNR1,FOSB,LIMK2,SYCP1,DUSP1"
"3","GOBP_REGULATION_OF_DNA_RECOMBINATION",0.910498257125282,0.98413111941163,0.194993112768268,0.730160377443246,26642,59,"BCL6,MSH3,SMCHD1,TFRC,H1-2"
"4","GOBP_RIBOSOMAL_LARGE_SUBUNIT_ASSEMBLY",0.693705468190059,0.917009358897044,-0.31262488268378,-0.828380859288094,16453,12,"NLE1,NOP2,DHX30"
"5","GOBP_VERY_LONG_CHAIN_FATTY_ACID_METABOLIC_PROCESS",0.00555946777361847,0.14640781875387,0.597935184529703,1.75561096083426,149,20,"ELOVL2,HACD2,ABCD3,ACSBG1,ELOVL6,ACOX1,ACSL6"
"6","GOBP_TRANSITION_METAL_ION_TRANSPORT",0.0348120151183609,0.329939076967465,-0.338495194872908,-1.4010815203504,699,73,"TF,ATP6V1E1,TCN1,FKBP4,SLC30A3,SLC6A9,ATP6V0C,CLTC,RAB11B,SLC31A2,LMTK2,TRPM2,ATP6V1A,HRG,ATP6V0D1,ATP6V1D,ISCU,MELTF,ABCB6,IFNG,ATP6V1F,ATP6V0A1,ATP6V1G2,SLC39A7,ATP6AP1"
"7","GOBP_MITOTIC_SISTER_CHROMATID_SEGREGATION",0.896888253027439,0.979116034944532,-0.183865105612916,-0.791677054417325,17552,90,"CENPF,NEK2,AKAP8L,KNTC1,NUP62,TUBG1,TRIP13,NCAPH,DCTN2,MACROH2A1,KIF23,AURKC,AURKB,ZW10,KATNB1,MAD1L1,ANAPC5,CHMP2A,BUB1,PIBF1,KIF2C,KIF25,NCAPH2,CUL3,ANAPC15,RRS1,ESPL1,AKAP8,MAD2L1BP,PLK1,VPS4B,EML3,CCNB1,SMC2,NUMA1,BUB1B"
"8","GOBP_CELL_CYCLE_CHECKPOINT",0.977308120133482,0.997817164802831,0.165611216403484,0.703829146827339,30750,124,"BTG2,CDC14B,CDKN1A,RAD1,CUL4A,RBL2,H2AX,RAD9A,SYF2,SOX4,BRCA1,GADD45A,MAD2L1,SFN,DUSP1,PLAGL1,CARM1,CDKN1B,TIPRL,TAOK3,EP300,TOPBP1,ATM,PLK2,ZWINT"
"9","GOBP_DNA_REPLICATION_CHECKPOINT",0.937356497780499,0.988733996992082,0.236573441805258,0.592199166160717,24494,11,"RAD9A,TOPBP1,CDC6,DNA2,CDT1"
"10","GOBP_REGULATION_OF_TRANSCRIPTION_INVOLVED_IN_G1_S_TRANSITION_OF_MITOTIC_CELL_CYCLE",0.150779203480886,0.583518582426395,-0.382152736035505,-1.26908152930703,3395,27,"TYMS,CDK18,CDK5,E2F4,RRM2,BRD4,KLF11,CDC45"
